name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel,
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,25431,21961,22493,22474,51346,23574,25859,35183,22272,12031,135,45226,0.4625,23,0.102143473682,8,163,0.440476190476,0.440476190476
translated_askap_LoadParset.graphml,1012,930,930,930,1012,930,1012,930,930,917,3,1011,0.0135135135135,2,0.0336300692384,1,2,0.0135135135135,0.0135135135135
translated_atca_minh_3-2_copies.graphml,7118,5208,5513,5348,8764,5903,7118,6831,5116,4560,31,9811,0.851351351351,11,0.149364932712,9,41,0.913580246914,0.913580246914
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,134635,116815,130237,133529,269530,120046,135077,197356,118243,30936,711,246277,0.0616666666667,17,0.11243728525,80,899,0.0616666666667,0.0616666666667
translated_CALIB_6_copies.graphml,30777,26596,26434,26596,29929,26858,30103,30357,26943,3966,162,56805,0.440476190476,13,0.0970806560455,12,198,0.560606060606,0.560606060606
translated_lofar_test_2x4.graphml,40687,36114,37061,36241,40773,37809,41277,51175,36966,23577,220,74344,0.0446859903382,42,0.100235759076,18,256,0.102777777778,0.102777777778
translated_chiles_two_6_copies.graphml,25936,22884,23135,23120,26377,23632,26776,25732,23035,11466,140,48539,0.220238095238,13,0.0972433065606,24,157,0.280303030303,0.280303030303
translated_chiles_two_dev2_6-8-4_copies.graphml,648225,572648,1004445,1004398,674706,581133,650475,1006758,574509,34795,3467,1000000,0.00994623655914,31,0.146912450534,240,4494,0.010632183908,0.010632183908
translated_askap_hello.graphml,1301,1165,1336,1336,1439,1165,1301,1336,1165,1112,5,1599,0.027027027027,3,0.0505315822389,2,4,0.027027027027,0.027027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,104195,93329,91609,93713,110676,97751,103561,142930,91651,21547,559,194351,0.0761316872428,31,0.119844028576,36,708,0.0708812260536,0.0708812260536
translated_chiles_two_dev2_3-6-9_copies.graphml,545161,477690,908956,900841,557131,488699,547260,917578,480541,70914,2899,1000000,0.0145012737605,31,0.122252069679,189,3750,0.013501185915,0.013501185915
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,613713,541538,1001336,1001401,614708,545243,612056,1003648,537000,18166,3271,1000000,0.0171296296296,23,0.131479715072,216,4131,0.0163139329806,0.0163139329806
translated_dist_sagecal.graphml,35480,20018,20158,19977,35480,21431,35480,24373,19983,22894,98,33928,0.324561403509,53,0.191378862321,3,156,0.483660130719,0.483660130719
translated_askap_LoadVis.graphml,1012,930,930,930,1012,930,1012,930,930,917,3,1011,0.0135135135135,2,0.0336300692384,1,2,0.0135135135135,0.0135135135135
