name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,fork_join,levels,ccr,width,edges,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,12269,45913,9752,9833,9759,20027,11336,12331,19067,9824,6215,135,0.4625,23,0.100615092474,8,163,0.440476190476
translated_askap_LoadParset.graphml,926,895,861,861,861,926,861,926,861,861,830,3,0.0135135135135,2,0.0379888268156,1,2,0.0135135135135
translated_atca_minh_3-2_copies.graphml,7506,10601,3785,4011,4011,8543,4371,7506,4912,3785,4101,31,0.851351351351,11,0.138234067997,9,41,0.913580246914
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,54391,244581,42160,41911,41829,55735,45712,54111,73942,42991,19849,711,0.0616666666667,17,0.113216960024,80,899,0.0616666666667
translated_CALIB_6_copies.graphml,11852,55804,9353,9084,9106,12557,10326,11911,9504,9532,3087,162,0.440476190476,13,0.0988220677132,12,198,0.560606060606
translated_lofar_test_2x4.graphml,26150,75735,18061,17061,16836,26165,19761,25410,20016,17796,18785,220,0.0446859903382,42,0.098394761639,18,256,0.102777777778
translated_chiles_two_6_copies.graphml,11542,47989,8926,8760,8718,13138,10181,11530,11864,8668,8606,140,0.220238095238,13,0.0983578081882,24,157,0.280303030303
translated_chiles_two_dev2_6-8-4_copies.graphml,260207,1000000,203211,698222,695429,299106,215452,260914,882923,202803,29645,3467,0.00994623655914,31,0.146912450534,240,4494,0.010632183908
translated_askap_hello.graphml,1481,1742,1216,1310,1310,1548,1216,1481,1310,1216,1115,5,0.027027027027,3,0.046383467279,2,4,0.027027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,43295,192873,33953,33307,33458,66717,38018,43322,62008,33646,38267,559,0.0761316872428,31,0.120762402191,36,708,0.0708812260536
translated_chiles_two_dev2_3-6-9_copies.graphml,215300,1000000,168826,474815,492105,237908,183594,217061,754849,168412,64190,2899,0.0145012737605,31,0.122252069679,189,3750,0.013501185915
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,247601,1000000,190662,638049,618230,250393,203525,245885,932848,190671,36088,3271,0.0171296296296,23,0.131479715072,216,4131,0.0163139329806
translated_dist_sagecal.graphml,30095,33671,15289,15267,15381,31114,15351,31412,16358,15236,18400,98,0.324561403509,53,0.192839596116,3,156,0.483660130719
translated_askap_LoadVis.graphml,926,895,861,861,861,926,861,926,861,861,830,3,0.0135135135135,2,0.0379888268156,1,2,0.0135135135135
translated_test_grpby_gather.graphml,11555,52305,9218,8357,8250,17607,9713,11263,7410,9367,2561,154,0.321739130435,7,0.15296692601,23,212,0.64347826087
translated_chiles_two.graphml,7545,25162,5594,5651,5583,8511,6266,7502,7156,5716,3331,76,0.440476190476,13,0.0883757462171,12,82,0.560606060606
translated_facet_img_8-8-4_copies.graphml,342378,1000000,268450,1003134,1003063,396134,283185,342570,1007990,267870,50656,4583,0.00745967741935,31,0.193162704997,320,5953,0.00797413793103
translated_mwa_gleam.graphml,10123,43733,7971,8086,8113,9939,8596,10064,11790,8321,4698,130,0.37,19,0.0686200703922,10,125,0.435294117647
translated_chiles_two_dev1_12-12_copies.graphml,66958,309423,52150,51857,52174,68151,56779,67422,69646,51822,2885,906,0.0364891518738,8,0.109054252721,156,1104,0.0790598290598
translated_lofar_nsm_2x4.graphml,25743,74449,17659,17059,16467,26797,19764,25178,20976,17698,10869,214,0.0502717391304,42,0.073185645621,16,220,0.115625
translated_chiles_simple.graphml,2163,6863,1855,1835,1813,2255,2021,2351,1857,1782,3528,22,0.27027027027,5,0.0745499582743,5,21,0.202702702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,75737,340886,59129,57616,57809,77902,63442,74937,101783,58574,22365,983,0.0578125,23,0.114661665366,64,1235,0.0550595238095
translated_CALIB_12_copies.graphml,24444,112659,19317,17569,17205,25909,20594,24860,16005,19014,3568,324,0.220238095238,13,0.108184876486,24,396,0.280303030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,12269,45913,9752,9844,9759,20027,11336,11801,19067,9783,6215,135,0.4625,23,0.100615092474,8,163,0.440476190476
translated_askap_dingo.graphml,6164,19226,4161,4480,4383,6176,4471,6521,5400,4283,3365,59,0.770833333333,12,0.110025794872,8,66,0.925
translated_atca_minh_10-8_copies.graphml,12236,26083,5345,5570,5582,14774,6333,12441,7615,5432,8650,78,0.352380952381,11,0.158611021817,30,115,0.274074074074
translated_lofar_test_4x4.graphml,35143,121163,25254,22604,22690,85541,28118,34838,34805,25667,20403,348,0.0236572890026,42,0.104619776475,34,416,0.0544117647059
translated_mwa_gleam_simple_12_copies.graphml,10706,49092,8558,8230,8215,10932,9234,10359,7761,8606,1784,144,0.308333333333,7,0.0596957413292,24,132,0.616666666667
translated_chiles_two_8_copies.graphml,14039,61190,11198,10899,11334,14991,12618,13821,15300,11188,5879,184,0.165178571429,13,0.0967492557039,32,208,0.210227272727
translated_lofar_std.graphml,19977,65580,14277,13197,12998,20702,15911,19432,15970,14468,8263,192,0.12091503268,33,0.0975780217546,18,224,0.132616487455
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,19906,84595,15578,15383,15620,26457,16695,19977,27862,15633,15992,247,0.137037037037,20,0.131560450089,30,339,0.137037037037
translated_mwa_gleam_simple_3_copies.graphml,4054,11194,2945,3069,2889,3898,2825,3690,2902,2934,1712,36,0.810810810811,7,0.0819709963671,6,33,0.405405405405
translated_askap_dingo_expanded.graphml,6164,19226,4161,4502,4383,6176,4471,6349,5400,4293,3365,59,0.770833333333,12,0.110025794872,8,66,0.925
translated_lofar_test_8x8.graphml,92976,418487,71740,54981,55726,95059,79358,92789,102225,70998,18057,1202,0.0061872909699,42,0.10877038398,130,1468,0.0142307692308
translated_dist_sagecal_sleep_1_copies.graphml,18641,19226,13560,13634,13634,18641,13587,18641,13648,13524,14004,59,0.216216216216,50,0.19341834063,2,91,0.770833333333
translated_test_mk_grpby.graphml,12593,42785,9054,9386,9162,39485,10346,12421,13242,9591,8863,124,0.220238095238,17,0.0960136390882,24,145,0.205555555556
translated_lofar_cal.graphml,1209,1143,1113,1142,1142,1209,1113,1209,1142,1113,1014,4,0.0135135135135,3,0.0688976377953,1,3,0.0135135135135
translated_atca_minh.graphml,7321,14652,3694,3883,4041,10475,4395,7628,5307,3732,4539,45,0.704761904762,11,0.156988806989,15,63,0.548148148148
translated_atca_attila_12_copies.graphml,15646,33563,10021,10188,10403,17833,11120,16736,12456,10076,13669,96,0.186868686869,30,0.130810279673,36,133,0.0734126984127
translated_test_seq_gather.graphml,20712,25657,8151,8162,8130,21490,8586,21584,9936,8225,12411,74,0.864864864865,25,0.120571910727,4,97,0.804347826087
translated_atca_attila_4_copies.graphml,14513,18849,8487,8758,8649,16400,8891,14554,9323,8550,10242,56,0.560606060606,30,0.117076123781,12,69,0.220238095238
translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,83601,379867,64556,64855,65264,85984,68680,83627,147306,64457,30216,1095,0.028549382716,19,0.151130155829,144,1603,0.0302287581699
translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,121032,561678,95553,95845,95713,129097,100594,122391,320869,95359,26633,1615,0.0190329218107,20,0.156137369982,216,2379,0.0190329218107
translated_chiles_two_dev1.graphml,6117,26083,5033,5083,5111,6048,5053,5919,5724,4946,1884,78,0.474358974359,8,0.0819641833712,12,86,0.972972972973
translated_cont_img.graphml,44483,51367,29737,29709,29709,53350,30184,44483,32951,29737,24887,148,0.616666666667,97,0.101161935389,4,177,0.194736842105
translated_CALIB_8_copies.graphml,15977,74657,12909,12115,11801,16649,13320,16160,10251,12822,3225,216,0.330357142857,13,0.10778776419,16,264,0.420454545455
translated_dist_sagecal_sleep_9_copies.graphml,106049,121104,24192,24493,23770,102174,25807,107359,37690,24520,46136,355,0.1,50,0.188425848392,10,579,0.154166666667
translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,9078,8719,6534,6531,6531,9086,6534,9078,6531,6534,6188,26,0.0405405405405,23,0.0673242344306,3,26,0.851351351351
translated_atca_minh_4-5_copies.graphml,9591,14219,3848,3989,3989,11247,4601,9591,5121,4024,5939,42,0.880952380952,11,0.139173272516,12,58,0.685185185185
translated_chiles_two_dev1_8-8_copies.graphml,31804,148283,25054,25265,24980,33270,27495,32431,33559,24976,7377,428,0.0790598290598,12,0.0975351438689,72,512,0.102777777778
translated_CALIB.graphml,8108,36752,6616,6699,6622,8449,7137,8262,7391,6788,3477,108,0.660714285714,13,0.107749238137,8,132,0.840909090909
translated_lofar_test_4x8.graphml,55291,237031,41303,34050,33882,56949,46909,54377,65534,41617,13665,690,0.012187088274,42,0.107788432737,66,828,0.0280303030303
translated_dist_sagecal_sleep_5_copies.graphml,62584,71035,16349,16507,16260,63807,18962,62260,23177,16158,35583,207,0.166666666667,50,0.193264258042,6,335,0.256944444444
translated_chiles_two_12_copies.graphml,20582,93234,16188,15767,16068,24196,17757,20073,22758,16168,7610,272,0.110119047619,13,0.0906542551379,48,310,0.140151515152
translated_chiles_two_dev2.graphml,39277,172425,30714,30490,30410,63508,34701,39318,55195,30495,25377,499,0.0761316872428,31,0.118014227672,36,633,0.0708812260536
translated_mwa_gleam_simple.graphml,5798,24295,4600,4475,4303,5682,4746,5515,4209,4451,1724,72,0.616666666667,7,0.0544076284558,12,66,0.810810810811
translated_facet_img_2-2-2_copies.graphml,17339,65446,13386,13375,13247,23292,15630,17887,23827,13302,27996,191,0.228395061728,31,0.110279159046,12,235,0.212643678161
translated_dist_sagecal_sleep.graphml,86258,97373,20788,21056,20759,85470,24592,86198,30599,21173,42774,281,0.125,50,0.185360012511,8,457,0.192708333333
translated_chiles_two_dev1_8-4_copies.graphml,18624,83094,14268,14270,14260,18600,14760,18213,17866,14046,2700,244,0.142307692308,8,0.104173349795,40,284,0.308333333333
translated_mwa_gleam_simple_8_copies.graphml,7318,33563,6057,5666,5993,7427,6161,7282,5581,5885,1833,96,0.4625,7,0.0599494483012,16,88,0.925
translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,155006,719929,121343,213459,213226,158402,129598,155494,542099,121491,51860,2068,0.0274074074074,23,0.112808101889,135,2604,0.026102292769
translated_atca_attila_8_copies.graphml,13983,25162,8819,9182,8975,18055,9684,15906,10359,8812,8868,76,0.280303030303,30,0.126440664494,24,101,0.110119047619
translated_atca_attila.graphml,16032,21897,9167,9145,9165,17312,9634,16032,10162,9304,11295,66,0.373737373737,30,0.133157856134,18,85,0.146825396825
translated_dist_sagecal_sleep_3_copies.graphml,39318,45783,14793,14967,14768,40075,15726,39986,18270,14967,23436,133,0.25,50,0.18186265743,4,213,0.385416666667
translated_dist_sagecal_sleep_2_copies.graphml,28949,33563,14573,14554,14673,29055,14698,28949,15310,14613,20440,96,0.333333333333,50,0.168178748423,3,152,0.513888888889
translated_facet_img.graphml,51212,224124,38944,39441,38928,80248,43677,50840,75330,39259,35356,655,0.0497311827957,31,0.123485513268,48,834,0.0531609195402
translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,53746,242481,41933,41288,41517,55230,44334,53988,72337,42121,21614,699,0.0456790123457,20,0.139903939733,90,983,0.0456790123457
