name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq,BF,fork_join,ccr,width,levels,parallel
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1630,344,353,347,1570,300,1602,330,323,98,135,899,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_LoadParset.graphml,25,17,14,14,25,17,25,14,17,7,3,23,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_atca_minh_3-2_copies.graphml,368,143,137,134,368,141,368,134,151,53,31,206,1.322580645,0.851351351,0.185678826,9,11,0.913580247
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,7732,788,1254,1235,8041,1267,7701,1626,779,355,711,4858,1.264416315,0.061666667,0.167108989,80,17,0.061666667
translated_CALIB_6_copies.graphml,1630,290,350,343,1655,291,1647,324,289,47,162,1157,1.222222222,0.44047619,0.186446281,12,13,0.560606061
translated_lofar_test_2x4.graphml,2734,540,717,692,2699,600,2746,596,571,253,220,1491,1.163636364,0.04468599,0.190420279,18,42,0.102777778
translated_chiles_two_6_copies.graphml,1561,260,289,291,1552,258,1500,271,260,56,140,940,1.121428571,0.220238095,0.201802415,24,13,0.28030303
translated_chiles_two_dev2_6-8-4_copies.graphml,37383,3312,5866,5924,40309,5478,37295,8290,3300,678,3467,23978,1.296221517,0.009946237,0.164434287,240,31,0.010632184
translated_askap_hello.graphml,81,28,28,28,78,28,78,28,28,15,5,36,0.8,0.027027027,0.734126984,2,3,0.027027027
translated_chiles_two_dev2_3-3-3_copies.graphml,5833,729,1050,1026,5874,1044,5807,1315,732,299,559,3879,1.266547406,0.076131687,0.178714188,36,31,0.070881226
translated_chiles_two_dev2_3-6-9_copies.graphml,31355,2802,5079,5021,32451,4983,31314,6623,2768,785,2899,20139,1.2935495,0.014501274,0.166538885,189,31,0.013501186
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,35004,3144,5701,5662,35339,5706,34958,7546,3150,553,3271,22668,1.262916539,0.01712963,0.174083586,216,23,0.016313933
translated_dist_sagecal.graphml,2724,641,598,633,2587,494,2708,504,604,273,98,647,1.591836735,0.324561404,0.119072618,3,53,0.483660131
translated_askap_LoadVis.graphml,25,17,14,14,25,17,25,14,17,7,3,23,0.666666667,0.013513514,1.269230769,1,2,0.013513514
translated_test_grpby_gather.graphml,1354,199,256,263,1375,201,1378,283,210,25,154,1011,1.376623377,0.32173913,0.14992703,23,7,0.643478261
translated_chiles_two.graphml,788,212,202,200,786,189,786,213,201,28,76,496,1.078947368,0.44047619,0.230282887,12,13,0.560606061
translated_facet_img_8-8-4_copies.graphml,48892,4153,7696,7759,52581,7777,48975,10542,4193,228,4583,31637,1.298930831,0.007459677,0.165731472,320,31,0.007974138
translated_mwa_gleam.graphml,1393,261,309,287,1375,263,1385,244,262,59,130,832,0.961538462,0.37,0.273856827,10,19,0.435294118
translated_chiles_two_dev1_12-12_copies.graphml,9707,916,1496,1507,9742,1361,9649,2063,919,61,906,6313,1.218543046,0.036489152,0.185788346,156,8,0.079059829
translated_lofar_nsm_2x4.graphml,2502,478,487,498,2082,353,2481,436,460,132,214,1426,1.028037383,0.050271739,0.270390973,16,42,0.115625
translated_chiles_simple.graphml,263,96,66,65,253,74,245,94,96,21,22,138,0.954545455,0.27027027,0.220458554,5,5,0.202702703
translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,10906,1098,1788,1775,11045,1613,10946,2266,1079,362,983,6761,1.256358087,0.0578125,0.167886976,64,23,0.055059524
translated_CALIB_12_copies.graphml,3229,417,551,557,3196,476,3274,614,417,39,324,2250,1.222222222,0.220238095,0.18389021,24,13,0.28030303
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1630,344,379,347,1570,300,1638,330,329,98,135,899,1.207407407,0.4625,0.17428321,8,23,0.44047619
translated_askap_dingo.graphml,919,178,161,153,721,145,932,144,179,55,59,389,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_atca_minh_10-8_copies.graphml,1277,234,243,241,1273,230,1270,254,234,97,78,552,1.474358974,0.352380952,0.123698714,30,11,0.274074074
translated_lofar_test_4x4.graphml,3757,620,701,705,3943,675,3757,794,616,228,348,2313,1.195402299,0.023657289,0.19499731,34,42,0.054411765
translated_mwa_gleam_simple_12_copies.graphml,1370,239,275,267,1396,210,1374,257,250,26,144,984,0.916666667,0.308333333,0.340357993,24,7,0.616666667
translated_chiles_two_8_copies.graphml,1808,297,350,336,1813,286,1831,364,303,70,184,1258,1.130434783,0.165178571,0.220619228,32,13,0.210227273
translated_lofar_std.graphml,1992,482,484,529,2063,453,1984,491,480,197,192,1317,1.166666667,0.120915033,0.195158615,18,33,0.132616487
translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,2583,401,513,514,2580,410,2581,515,406,272,247,1686,1.372469636,0.137037037,0.151170629,30,20,0.137037037
translated_mwa_gleam_simple_3_copies.graphml,395,98,71,71,417,96,388,71,98,18,36,208,0.916666667,0.810810811,0.223537402,6,7,0.405405405
translated_askap_dingo_expanded.graphml,919,178,153,153,721,145,923,144,178,55,59,389,1.118644068,0.770833333,0.218693874,8,12,0.925
translated_lofar_test_8x8.graphml,11924,1445,2290,2237,12686,2036,11826,2855,1435,154,1202,8434,1.221297837,0.006187291,0.184730194,130,42,0.014230769
